#{"t_start": 1756622989.90913, "env_id": "None"}
r,l,t
513.406269,628,214.216326
458.558678,576,214.364132
468.833991,588,214.517743
418.215474,544,214.976064
431.213271,556,215.116636
426.535304,544,215.257391
401.233532,528,215.388567
437.334319,560,215.851478
411.205013,537,215.98821
554.676361,671,216.163971
476.670247,596,216.318171
490.319169,602,216.796329
429.79585,548,216.938001
498.699449,608,217.095219
550.560806,673,217.609811
497.836339,626,217.774256
500.032575,642,217.94103
411.558564,547,218.40082
451.629494,597,218.554642
364.463163,496,218.678508
319.49338,433,218.784454
559.430512,704,219.291134
517.893303,684,219.469786
463.460718,597,219.622983
457.418105,604,220.099286
398.796635,535,220.233151
449.5367,596,220.385895
509.912352,639,220.550787
590.645391,758,221.071493
620.843577,791,221.279993
530.43464,658,221.766593
515.296175,641,221.935124
605.532517,787,222.145041
516.94829,678,222.644765
582.888579,825,222.866675
619.335831,784,223.074712
572.671986,788,223.635294
497.81216,658,223.804874
590.705817,789,224.015097
599.378787,797,224.549475
566.451293,776,224.755045
578.80276,716,225.261744
600.850134,758,225.464004
596.850914,729,225.654951
580.856341,859,226.206302
626.272233,869,226.443729
591.494963,799,226.976026
535.066827,665,227.149721
592.507877,821,227.370172
565.309448,763,227.892661
551.589914,754,228.095836
611.628691,837,228.319016
539.622915,753,228.842701
571.833475,780,229.050298
608.190454,874,229.605424
562.050532,705,229.790941
608.774188,804,230.005128
585.413485,833,230.547947
584.239874,808,230.765132
618.248847,848,231.326111
570.200778,757,231.5385
560.788426,755,231.746448
638.512823,866,232.319831
619.459359,848,232.554549
565.146318,696,232.740331
657.290711,988,233.343602
570.823794,795,233.56362
603.747522,843,234.203708
628.61939,914,234.453015
590.534493,825,234.995966
615.76129,877,235.233357
603.041228,815,235.451576
634.8437,899,236.013695
663.169362,989,236.282904
714.786081,1000,236.901465
646.406698,914,237.151594
660.838147,958,237.898472
654.25109,960,238.15812
660.779612,950,238.726529
654.716812,970,238.986201
562.821168,773,239.200751
692.376667,983,239.784136
654.684818,1000,240.055266
662.728705,941,240.656372
661.12512,995,240.9426
611.152132,880,241.496029
564.624283,732,241.688811
590.820395,794,242.212948
658.964928,1000,242.480797
674.080928,966,243.059633
601.880303,850,243.292802
685.447043,1000,243.571131
565.431467,712,244.085236
607.480424,804,244.296441
632.367825,811,244.824818
465.424388,596,244.980629
